block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_2-75-3,75,1,1,Kildonan Place,1434,1,11453_merged_62652
b_3-17-4,17,1,1,Misericordia Health Centre,1083,4_merged_61274,12956_merged_73240
b_1-19-5,19,1,0,Red River College via Logan,1157,2_merged_61273,1924_merged_71485
b_2-90-2,90,1,1,Henderson & Whellams,1526,3,11571_merged_75561
b_2-47-5,47,1,1,Balmoral Station,1333,3,10374_merged_71232
b_1-10-1,10,1,0,St. Boniface via Tache,870,2_merged_61273,89_merged_79693
a_2-17-1,17,1,0,Maples,1079,1,9343_merged_63945
a_1-54-7,40,1,1,Balmoral Station,1289,4_merged_61272,4696_merged_65325
a_3-14-4,14,1,0,South St. Vital via Paddington,956,2_merged_61271,13052
a_3-14-4,14,1,1,Ferry Road,957,2_merged_61271,13051
b_3-14-3,14,1,1,Ferry Road,955,4_merged_61274,12653_merged_74346
a_2-19-2,19,1,0,Red River College via Logan,1157,1,9659_merged_63279
a_1-24-14,24,1,1,City Hall,1219,4_merged_61272,2749_merged_62830
a_1-38-7,38,1,1,The Forks,1279,4_merged_61272,3668_merged_62638
b_1-83-1,83,1,0,Unicity,1486,2_merged_61273,6390_merged_74013
b_2-24-4,24,1,0,Unicity,1220,3,9674_merged_72387
b_1-160-4,160,1,0,University of Manitoba,1051,2_merged_61273,7505_merged_74433
b_1-44-16,161,1,1,Downtown,1053,2_merged_61273,3822_merged_78041
a_2-18-5,18,1,0,Garden City Centre via Jefferson,1126,1,9519_merged_66527
b_2-60-4,60,1,1,Downtown,1388,3,10634_merged_77801
b_2-21-7,11,1,0,St. Charles,906,3,9588_merged_79146
b_1-16-2,16,1,1,St.Vital Centre,1034,2_merged_61273,1175
b_1-16-2,16,1,0,Tyndall Park via Manitoba,1000,2_merged_61273,1174
b_1-55-22,55,1,1,U of Winnipeg via Meadowood,1366,2_merged_61273,4816_merged_71970
a_3-16-6,16,1,0,Tyndall Park via Manitoba,1042,2_merged_61271,13253_merged_64324
b_1-21-3,21,1,0,St.Charles,1194,2_merged_61273,2210_merged_73510
b_1-38-3,38,1,1,The Forks,1279,2_merged_61273,3484_merged_78773
a_2-33-5,33,1,1,Downtown,1930,1,10344_merged_65691
b_1-90-4,90,1,1,Henderson & Whellams,1526,2_merged_61273,6746_merged_76208
a_1-45-8,45,1,0,Kildonan Place,1310,4_merged_61272,4203_merged_61794
b_1-183-8,185,1,1,Osborne Village,1150,2_merged_61273,8020_merged_71587
b_1-137-13,137,1,0,University of Manitoba,949,2_merged_61273,7438_merged_79258
a_2-44-4,44,1,0,Kildonan Place via Louelda,1300,1,10567_merged_61832
a_2-109-1,91,1,1,Killarney & Pembina,1531,1,12304_merged_70563
b_3-16-3,16,1,1,Southdale Centre,1018,4_merged_61274,12831
b_3-16-3,16,1,0,Tyndall Park via Burrows,1003,4_merged_61274,12830
a_2-10-2,10,1,1,Wolseley-Provencher via Provencher,871,1,8549
a_2-10-2,10,1,0,St. Boniface via Tache,870,1,8548
a_2-10-2,10,1,1,Wolseley via Tache,869,1,8547
a_1-66-1,24,1,0,Unicity,1218,4_merged_61272,5355_merged_64861
a_3-71-1,71,1,1,Portage via Sinclair,1422,2_merged_61271,14331_merged_69151
a_1-12-1,12,1,1,City Hall,943,4_merged_61272,624
a_1-55-1,55,1,0,St. Vital Centre via Dakota,1365,4_merged_61272,4740_merged_64366
b_2-29-3,29,1,1,Logan,1235,3,9843_merged_74819
b_2-51-1,51,1,1,St. Vital Centre,1352,3,10399_merged_70920
